text,response
"what is your name?","I'm a chatbot created to help you with your queries."
"how are you?","I'm just a program, but I'm here to assist you with anything you need."
"what can you do?","I can answer your questions, provide information, and help with various tasks."
"tell me a joke.","Why did the scarecrow win an award? Because he was outstanding in his field!"
"what is the weather like today?","I don't have real-time capabilities, but you can check a weather app for current conditions."
"who is the president of the USA?","As of 2024, Joe Biden is the President of the United States."
"what time is it?","I don't have real-time capabilities. Please check your device's clock."
"can you help me with math?","Yes, I can assist with basic math problems. What do you need help with?"
"what is the capital of France?","The capital of France is Paris."
"who wrote 'To Kill a Mockingbird'?","'To Kill a Mockingbird' was written by Harper Lee."
"how far is the moon from Earth?","The average distance from the Earth to the Moon is about 384,400 kilometers (238,855 miles)."
"what is the largest planet in our solar system?","Jupiter is the largest planet in our solar system."
"who won the World Series in 2023?","The Texas Rangers won the 2023 World Series."
"what is the boiling point of water?","The boiling point of water is 100 degrees Celsius (212 degrees Fahrenheit) at sea level."
"can you translate 'hello' to Spanish?","'Hello' in Spanish is 'hola'."
"what is the square root of 64?","The square root of 64 is 8."
"what is the fastest animal on land?","The fastest animal on land is the cheetah, which can run up to 75 miles per hour."
"what are the primary colors?","The primary colors are red, blue, and yellow."
"who painted the Mona Lisa?","The Mona Lisa was painted by Leonardo da Vinci."
"what is the smallest country in the world?","The smallest country in the world by land area is Vatican City."
"what is the longest river in the world?","The Nile River is often considered the longest river in the world, though some sources claim the Amazon River is longer."
"how many continents are there?","There are seven continents: Africa, Antarctica, Asia, Europe, North America, Australia, and South America."
"what is the human body’s largest organ?","The largest organ in the human body is the skin."
"who discovered penicillin?","Penicillin was discovered by Alexander Fleming in 1928."
"what is the speed of light?","The speed of light is approximately 299,792 kilometers per second (186,282 miles per second)."
"how many planets are in our solar system?","There are eight planets in our solar system."
"what is the tallest mountain in the world?","Mount Everest is the tallest mountain in the world."
"what does NASA stand for?","NASA stands for National Aeronautics and Space Administration."
"what is the capital of Japan?","The capital of Japan is Tokyo."
"how many states are there in the USA?","There are 50 states in the United States of America."
"who is known as the father of computer science?","Alan Turing is often considered the father of computer science."
"what is the chemical symbol for gold?","The chemical symbol for gold is Au."
"what is the main ingredient in guacamole?","The main ingredient in guacamole is avocado."
"what year did the Titanic sink?","The Titanic sank in 1912."
"what is the hardest natural substance on Earth?","Diamond is the hardest natural substance on Earth."
"who wrote '1984'?","'1984' was written by George Orwell."
"what is the smallest prime number?","The smallest prime number is 2."
"what is the speed of sound?","The speed of sound is approximately 343 meters per second (1,125 feet per second) in air."
"how many bones are in the human body?","The adult human body has 206 bones."
"what is the currency of Japan?","The currency of Japan is the yen."
"who is known as the 'Father of Physics'?","Isaac Newton is often referred to as the 'Father of Physics.'"
"what is the formula for water?","The chemical formula for water is H2O."
"who invented the light bulb?","Thomas Edison is credited with inventing the practical electric light bulb."
"what is the longest river in the world?","The Nile River is often considered the longest river in the world."
"how many elements are in the periodic table?","As of now, there are 118 known elements in the periodic table."
"what is the capital of Australia?","The capital of Australia is Canberra."
"what is the largest ocean on Earth?","The largest ocean on Earth is the Pacific Ocean."
"who was the first man on the moon?","Neil Armstrong was the first man to set foot on the moon."
"what is the main language spoken in Brazil?","The main language spoken in Brazil is Portuguese."
